data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000019,COMPLETED,2006,Melbourne (CBD),15,The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,104010,,,,,14,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9656281,-37.81760667,"{'lon': 144.9656281, 'lat': -37.81760667}"
Pre May 16,X000031,COMPLETED,2013,Melbourne (CBD),17,The Duke 142-148 Flinders Street MELBOURNE VIC 3000,104021,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,144.9700863,-37.8164075,"{'lon': 144.9700863, 'lat': -37.8164075}"
Pre May 16,X000034,COMPLETED,2014,Melbourne (CBD),17,82 Flinders Street MELBOURNE VIC 3000,104031,,,,,27,28,0,3,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9719344,-37.81587493,"{'lon': 144.9719344, 'lat': -37.81587493}"
Pre May 16,X000991,COMPLETED,2009,West Melbourne (Industrial),1004,620-628 Footscray Road WEST MELBOURNE VIC 3003,104048,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,0,0,0,0,0,0,0,0,144.9158128,-37.80594063,"{'lon': 144.9158128, 'lat': -37.80594063}"
Pre May 16,X000368,COMPLETED,2002,Carlton,245,251-257 Cardigan Street CARLTON VIC 3053,104450,,,,,4,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9651041,-37.80077072,"{'lon': 144.9651041, 'lat': -37.80077072}"
Pre May 16,X000642,COMPLETED,2012,Kensington,512,16-28 Bent Street KENSINGTON VIC 3031,104625,,,,,5,53,0,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9347421,-37.7955797,"{'lon': 144.9347421, 'lat': -37.7955797}"
Pre May 16,X000578,COMPLETED,2011,West Melbourne (Residential),419,101-107 Hawke Street WEST MELBOURNE VIC 3003,104727,,,,,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9467614,-37.80771071,"{'lon': 144.9467614, 'lat': -37.80771071}"
Pre May 16,X000542,COMPLETED,2011,North Melbourne,377,3-11 High Street NORTH MELBOURNE VIC 3051,104822,,,,,8,0,0,0,0,0,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9538188,-37.79958363,"{'lon': 144.9538188, 'lat': -37.79958363}"
Pre May 16,X000569,COMPLETED,2004,West Melbourne (Residential),413,74-80 Ireland Street WEST MELBOURNE VIC 3003,105094,,,,,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9438946,-37.80667311,"{'lon': 144.9438946, 'lat': -37.80667311}"
Pre May 16,X000243,COMPLETED,2014,West Melbourne (Residential),91,55-63 Jeffcott Street WEST MELBOURNE VIC 3003,105106,,,,,14,68,0,64,4,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,29,0,144.9517978,-37.8121999,"{'lon': 144.9517978, 'lat': -37.8121999}"
