census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_food_services
2017,Melbourne (CBD),1973,1276,309,4,148,88,237,48,548,345,109,195,29,724,1338,129,201,1124,70,86,7008,7846.0,1115
2017,Melbourne (Remainder),82,24,9,0,38,7,8,3,14,59,1,1,0,21,33,4,5,12,5,4,248,1142.0,0
2017,North Melbourne,161,116,32,1,47,36,33,17,21,97,20,52,0,114,117,10,17,78,25,53,886,380.0,0
2017,Parkville,73,89,5,0,41,0,69,5,5,90,1,3,0,28,20,3,2,22,5,1,389,450.0,0
2017,Port Melbourne,36,24,28,1,9,72,7,7,9,5,22,87,0,17,76,10,22,24,46,70,536,0.0,0
2017,South Yarra,16,12,1,0,5,0,14,5,0,1,1,1,0,7,0,1,0,4,0,0,52,0.0,0
2017,Southbank,242,210,29,4,41,34,12,19,28,31,19,14,6,39,117,7,36,237,11,17,911,1467.0,0
2017,West Melbourne (Industrial),6,6,0,0,11,4,0,11,0,0,3,9,0,7,4,2,2,7,57,33,156,0.0,0
2017,West Melbourne (Residential),82,26,15,0,10,10,16,6,11,10,8,10,0,28,71,6,10,20,12,22,291,1512.0,32
2018,Carlton,380,354,28,0,54,21,124,16,34,139,25,33,0,159,182,20,39,152,5,21,1406,1303.0,0
2018,Docklands,347,276,39,2,52,20,17,13,55,34,29,16,1,84,171,25,63,198,39,22,1156,784.0,24
2018,East Melbourne,83,45,8,0,15,4,6,2,6,111,3,2,0,28,33,15,4,7,3,2,294,190.0,0
2018,Kensington,68,39,10,0,66,10,8,9,2,23,4,29,0,30,32,4,11,26,14,16,333,352.0,11
2018,Melbourne (CBD),1960,2391,491,7,264,157,448,80,894,564,154,364,39,1339,2289,217,339,1892,104,189,12222,4111.0,0
2018,Melbourne (Remainder),82,24,9,0,28,8,6,2,24,61,3,8,0,19,50,6,7,9,4,8,276,0.0,22
2018,North Melbourne,161,95,28,0,38,40,25,16,9,48,17,32,0,100,99,7,12,75,20,43,704,428.0,47
2018,Parkville,74,111,10,0,48,0,101,5,6,92,0,1,0,23,5,2,1,26,4,0,435,228.0,0
2018,Port Melbourne,36,19,27,1,9,67,6,5,9,5,21,80,0,15,74,7,19,20,30,65,479,0.0,2
